,Preço do aluguel (escala log)
10192,5.170483995038151
776,6.440946540632921
22330,5.793013608384144
10628,5.700443573390687
11398,5.666426688112432
939,5.749392985908253
23861,6.55250788703459
12959,5.765191102784844
7174,5.303304908059076
25302,6.431331081933479
16674,5.8888779583328805
10656,5.602118820879701
4397,7.063903961472068
20654,5.552959584921617
15904,6.752270376141742
30,6.251903883165888
12801,5.19295685089021
25049,5.476463551931511
5043,7.667158255319148
3056,6.2878585601617845
17242,5.83773044716594
13059,5.241747015059643
2174,6.587550014824796
14747,7.930565854233965
2984,5.247024072160486
2207,6.687108607866515
547,6.289715570908998
16338,5.44673737166631
12698,6.814542897259958
25700,5.455321115357702
945,5.10594547390058
26358,6.583409222158765
16188,5.60947179518496
11635,7.496097345175956
21981,5.955837369464831
16737,5.303304908059076
29270,6.135564891081739
3352,6.311734809152915
21429,5.780743515792329
1680,6.398594934535208
25330,7.145984467714388
1557,6.927557906278317
17528,6.246106765481563
5863,6.555356891810665
14171,5.60947179518496
9681,5.545177444479562
19224,6.728628613084702
2698,6.745236349484363
4199,5.973809611869261
9477,5.860786223465865
23531,5.093750200806762
24192,7.00397413672268
5653,5.666426688112432
20391,5.420534999272286
25796,4.969813299576001
10755,6.947937068614969
6836,6.54534966033442
22068,6.39024066706535
8332,5.25227342804663
3732,8.517393171418904
16546,6.997595982981927
8943,6.398594934535208
1719,5.365976015021851
29329,4.634728988229636
17936,5.181783550292085
19165,5.375278407684165
9872,6.85751406254539
10543,7.378383712996714
25723,6.586171654854675
3113,6.90875477931522
13213,5.332718793265369
27119,5.820082930352362
8119,5.351858133476067
7900,4.74493212836325
15832,5.697093486505405
17897,4.605170185988092
8203,6.206575926724928
10572,4.543294782270004
29019,6.091309882077698
11505,7.052721049232323
1497,5.993961427306569
23517,4.990432586778736
25661,4.553876891600541
19649,5.308267697401205
14395,4.691347882229144
18407,5.3471075307174685
15118,6.532334292222349
3296,5.886104031450156
28952,5.117993812416755
15448,5.552959584921617
7886,5.424950017481403
24590,5.44673737166631
26844,5.407171771460119
563,5.442417710521793
5345,5.267858159063328
21602,6.432940092739179
22120,6.90875477931522
6657,6.436150368369428
5290,5.030437921392435
7652,5.638354669333745
1873,5.384495062789089
18210,5.869296913133774
26241,7.047517221357296
12636,5.420534999272286
25247,5.556828061699537
10272,6.456769655572163
20315,5.3230099791384085
6133,6.306275286948016
18065,5.662960480135946
13251,5.537334267018537
27229,5.517452896464707
8178,5.655991810819852
10001,7.215975002651466
20568,6.3473892096560105
25395,6.85751406254539
349,6.251903883165888
1687,5.58724865840025
1355,5.2574953720277815
22898,5.58724865840025
16632,5.749392985908253
789,5.942799375126701
688,5.170483995038151
27146,5.4510384535657
13475,5.3981627015177525
12554,6.405228458030842
3529,5.308267697401205
14465,5.602118820879701
26165,5.068904202220232
5683,5.796057750765372
14477,8.026170194946426
18999,5.424950017481403
25638,5.579729825986222
9090,5.19295685089021
18864,6.326149473155099
15399,5.627621113690637
24547,6.2166061010848646
2766,5.14166355650266
16857,5.365976015021851
2026,6.111467339502679
29393,6.133398042996649
1527,6.091309882077698
8570,6.472346294500901
15879,5.017279836814924
16137,5.420534999272286
2703,5.863631175598097
5187,6.169610732491456
23079,6.2166061010848646
26547,5.332718793265369
22204,7.313886831633462
27135,4.867534450455582
29338,6.154858094016418
11291,5.817111159963204
28732,7.02108396428914
19178,6.244166900663736
27593,5.762051382780177
14105,5.468060141135132
29378,6.315358001522335
22185,6.013715156042802
11917,6.391917113392602
20264,5.926926025970411
5910,5.43372200355424
22351,5.497168225293202
16227,5.351858133476067
25379,5.424950017481403
4424,5.44673737166631
22969,6.821107472256465
27820,5.236441962829949
24653,6.467698726104354
13582,6.001414877961151
23697,5.41610040220442
13631,7.331714969726466
16541,6.1779441140506
10132,6.2166061010848646
25158,6.792344427470809
12571,6.194405391104672
5554,6.040254711277414
4189,5.564520407322694
16381,8.006700845440367
18056,5.003946305945459
22576,4.634728988229636
3739,7.487173694213739
25818,5.602118820879701
13115,9.345919666218006
9210,6.418364935936212
19427,5.484796933490655
7640,5.583496308781699
8200,6.340359303727752
15009,5.60947179518496
25451,5.948034989180646
16477,5.700443573390687
6552,6.118097198041348
6178,5.739792912179234
28785,5.3471075307174685
9733,6.054439346269371
11423,5.442417710521793
2710,7.29641326877392
24608,5.6240175061873385
24040,5.043425116919247
2684,5.525452939131784
1393,7.617267813628347
20067,6.311734809152915
2226,6.133398042996649
2534,6.814542897259958
3336,5.755742213586912
22028,7.378383712996714
22275,5.313205979041787
7628,5.204006687076795
25488,6.180016653652572
28449,7.378383712996714
14833,5.44673737166631
19135,6.423246963533519
5663,6.654152520183219
8713,5.220355825078324
907,5.030437921392435
3899,5.44673737166631
20798,6.68586094706836
22266,5.602118820879701
13082,10.12667110305036
3617,8.109525659752872
28447,5.733341276897746
9932,5.655991810819852
19925,6.418364935936212
15575,5.918893854273146
22096,10.12667110305036
9952,5.170483995038151
7739,5.602118820879701
12344,5.147494476813453
27778,5.6240175061873385
2727,6.2166061010848646
14827,7.877397186353287
1604,5.135798437050262
19936,4.727387818712341
4564,7.652070746116482
20372,5.645446897643238
7294,5.860786223465865
25358,6.025865973825314
2412,5.062595033026967
24725,5.529429087511423
21578,5.062595033026967
16844,5.313205979041787
3274,7.204892510204673
6020,5.598421958998375
7029,5.929589143389895
2425,4.727387818712341
23882,8.159660737063376
26904,5.855071922202427
18673,7.496097345175956
9212,5.707110264748875
15264,5.236441962829949
14305,5.916202062607435
8628,6.693323668269949
28841,5.25227342804663
8348,5.602118820879701
11040,6.650279048587422
23743,7.13966033596492
22102,4.962844630259907
14313,5.062595033026967
13194,5.723585101952381
25268,5.2574953720277815
2873,6.621405651764134
24833,5.886104031450156
10574,5.19295685089021
22720,7.491645473605133
25021,6.501289670540389
3315,5.993961427306569
8674,5.993961427306569
606,7.534762657037537
7449,5.176149732573829
12217,6.746412128573375
18558,5.793013608384144
22825,7.313886831633462
26791,6.139884552226255
